Country,Name,Region,Scenario,Degrees,GCM,Labor Shock,ST_AG_Welfare_in_M_USD,ST_NONAG_Welfare_in_M_USD,Welfare_in_M_USD,Valueadded_in_M_USD,Initial_Income_in_M_USD
usa,United States of America,N America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,375.1813355,-3184.882324,-2809.700684,15606495.82,17663314
mex,Mexico,N America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,26.06658363,669.8370361,695.9036865,1074965.616,1045179
xna,Rest of North America,N America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-1.09316349,-0.743506968,-1.836670876,31446.136,36104.6172
arg,Argentina,S America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,68.11099243,282.3585815,350.4694824,513469.6686,605007.875
bol,Bolivia,S America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-0.984344184,11.81568623,10.83133793,31272.25462,35194.4219
bra,Brazil,S America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,608.3721924,4391.748047,5000.121582,1532254.245,1820812.375
chl,Chile,S America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,5.634643555,2.514461041,8.149080277,258966.5603,252467.9219
col,Colombia,S America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,1.162588835,306.0279541,307.1905212,264684.6565,285542.3437
ecu,Ecuador,S America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,22.30226326,70.16746521,92.46972656,95360.94733,91470.0547
pry,Paraguay,S America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,5.348079205,26.94883347,32.29692459,34200.03753,36365.2734
per,Peru,S America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,0.051694199,76.28903961,76.34074402,196870.4334,192188.6563
ury,Uruguay,S America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,10.97240257,27.92414284,38.89652252,50360.05408,58933.2617
ven,Venezuela,S America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,23.44787598,775.2877197,798.7354126,231786.982,227818.25
xsm,Rest of South America,S America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,3.195181847,38.68424988,41.87944794,11449.23467,12486.4063
cri,Costa Rica,C America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,11.49991036,59.47388458,70.97380066,48892.29968,56441.3281
gtm,Guatemala,C America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,16.38211441,70.08852387,86.47064209,65807.24184,65803.1172
hnd,Honduras,C America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,7.548470974,37.09580231,44.64427185,19662.4006,20325.9297
nic,Nicaragua,C America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,4.947506905,37.51080322,42.45831299,11431.13223,12682.29
pan,Panama,C America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,3.382357121,102.9615784,106.3439713,51717.71568,56917.7617
slv,El Salvador,C America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,0.737157762,36.61812592,37.35531235,22447.3747,22695.1777
xca,Rest of Central America,C America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-1.022780895,4.794903278,3.772120953,1261.343153,1638.5942
dom,Dominican Republic,C America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,26.01667786,103.4288483,129.4456024,73011.67222,73286.0078
hti,Haiti,C America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,23.77879524,22.88455582,46.66337585,13165.08978,13306.667
jam,Jamaica,C America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,2.654401541,32.3035965,34.95799637,11199.61762,13920.3203
pri,Puerto Rico,C America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,6.315872669,311.692688,318.0086975,88186.64549,92681.7188
tto,Trinidad and Tobago,C America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,1.430638671,77.99647522,79.42715454,21229.1312,20768.2227
xcb,Rest of Caribbean,C America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-0.437132597,200.1558228,199.71875,119976.1443,125676.7969
aut,Austria,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,9.578721046,25.70114327,35.27986908,288015.861,368294.3438
bel,Belgium,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,9.31424427,17.94205093,27.25631523,337525.0001,448323.2187
bgr,Bulgaria,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,6.074935913,8.769769669,14.84470177,46822.77924,53544.9297
hrv,Croatia,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,2.332881928,7.424054146,9.75693512,40347.9858,50285.0195
cyp,Cyprus,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,1.306447744,15.12862206,16.43507385,18698.6466,19540.6523
cze,Czech Republic,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,5.847826004,8.234325409,14.08216667,168739.1319,193082.875
dnk,Denmark,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,17.22746468,12.92767334,30.15513611,270579.1919,298167.9063
est,Estonia,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-0.962281823,0.348119378,-0.614162207,19880.63649,24291.8047
fin,Finland,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,8.116880417,8.462064743,16.57895279,190558.2423,226543.8594
fra,France,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,110.9351502,277.329834,388.2647095,1679692.874,2334273.5
deu,Germany,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,72.22898102,160.8354797,233.0647278,2695266.552,3309027.25
grc,Greece,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,27.6952076,38.59635925,66.29163361,146290.767,178645.4531
hun,Hungary,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,6.516205788,14.09503174,20.6112442,102057.0524,129410.2344
irl,Ireland,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-0.203278288,4.219051361,4.015779018,289339.8116,308923.125
ita,Italy,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,68.08909607,289.8500977,357.93927,1400627.102,1739692.875
lva,Latvia,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,0.319409698,0.737644792,1.057055712,22500.86449,27634.2188
ltu,Lithuania,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,3.86506772,2.308012962,6.173056603,37254.97136,44220.0352
lux,Luxembourg,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-2.738954544,3.08846283,0.349499643,52039.14419,60737.8008
mlt,Malta,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-0.318554759,3.189699173,2.871144056,10150.52118,12213.8828
nld,Netherlands,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,58.63072968,53.42969513,112.0602875,591769.5196,749251.6875
pol,Poland,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,20.43886185,26.72083283,47.15964508,383990.9938,488390.6875
prt,Portugal,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,10.77799797,28.05356026,38.83158875,167046.0794,197595.2969
rou,Romania,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,8.813188553,23.70370483,32.51689529,172184.9273,189773.4844
svk,Slovakia,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,3.003139496,4.635577679,7.638716698,73501.22106,86277.4531
svn,Slovenia,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,1.525197029,3.105527401,4.630721092,33702.51129,43449.5859
esp,Spain,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,97.16627502,342.2786255,439.4447937,1006238.584,1176747
swe,Sweden,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,10.48713017,17.10383606,27.59095383,341947.0578,481407.4688
gbr,United Kingdom,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,34.36275482,89.93273926,124.2953491,2070663.3,2462082.5
che,Switzerland,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-8.434441567,20.42362404,11.98917961,614780.3482,618194.375
nor,Norway,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-7.446887016,3.778862953,-3.668017149,302568.304,353843
xef,Rest of European Free Trade Association,Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,1.066644669,0.345284998,1.411930084,26777.26109,28340.1992
alb,Albania,E Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,0.939420819,1.937421918,2.876842022,9961.498811,11598.3936
srb,Serbia,E Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,2.917187452,6.834321022,9.751509666,32499.2485,41049.5742
blr,Belarus,E Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,7.596721172,6.658380508,14.2550993,41291.25916,51442.7148
rus,Russian Federation,E Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-61.84935761,73.71309662,11.86374855,1414849.657,1416931.5
ukr,Ukraine,E Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,34.77397919,16.56273842,51.33672333,92953.81384,98648.5625
xee,Rest of Eastern Europe,E Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,1.917631149,1.375774145,3.293405533,6978.320462,9089.6191
xer,Rest of Europe,E Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,1.532672167,5.372786522,6.905495644,59313.17139,67338.8828
kaz,Kazakhstan,C Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-14.92610169,12.1131525,-2.812952995,155216.6755,156797.7969
kgz,Kyrgyzstan,C Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,3.543482781,-0.835613191,2.70786953,5631.758315,6901.4082
tjk,Tajikistan,C Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-0.835290134,0.684586644,-0.150702909,6230.993532,6962.8936
uzb,Uzbekistan,C Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,11.22355461,13.64325428,24.86680031,59072.85149,58356.4453
xsu,Rest of Former Soviet Union,C Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-1.284857512,23.55017471,22.26532364,38501.65897,34832.8945
arm,Armenia,C Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,0.220531464,0.130043283,0.350574434,9593.049776,10835.7744
aze,Azerbaijan,C Asia,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-4.412822723,21.76395989,17.35115051,39217.26613,38413.6484
geo,Georgia,E Europe,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,0.449318945,2.278366566,2.727683783,13221.33537,14890.5439
bhr,Bahrain,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-2.982092619,-0.959139287,-3.941022635,35957.80133,32165.9746
irn,Iran,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-99.64025879,-25.34519196,-124.9854736,515346.4176,434931.9375
irq,Iraq,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-84.53746033,94.14082336,9.603349686,219386.9528,174636.375
isr,Israel,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,22.46887589,306.4884644,328.9573364,271465.7657,327577.625
jor,Jordan,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,2.048757792,26.60531616,28.6540699,36172.58826,38384.7266
kwt,Kuwait,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-29.0755043,-14.47209358,-43.54758453,123851.7658,110131.9297
lbn,Lebanon,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,4.486899376,36.12899017,40.61587906,43210.48119,46798.6133
omn,Oman,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-24.06392479,-47.0549736,-71.11890411,79547.22301,71967.0938
pse,Palestine,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,19.18478394,43.27255249,62.45742035,14506.15917,14449.8262
qat,Qatar,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-41.14453507,-693.3717651,-734.5162354,150309.7396,144336.1875
sau,Saudi Arabia,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-137.1460571,-52.41986084,-189.5660095,717614.6933,623457.25
syr,Syrian Arab Republic,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-11.75125885,8.269016266,-3.482239723,11606.10289,15360.2432
tur,Turkey,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,67.64439392,164.614624,232.2590179,672482.8986,767607.5
are,United Arab Emirates,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-118.4295197,-1116.435547,-1234.864624,381383.6835,337926.6875
xws,Rest of Western Asia,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-52.67092133,13.64548302,-39.0254364,17328.90224,19057.4824
dza,Algeria,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,0.140776739,43.08976364,43.23056412,149027.0735,152328.75
egy,Egypt,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,30.20314217,232.7198029,262.9229126,249434.5177,221589.6875
mar,Morocco,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,17.13497543,57.10205841,74.23701477,99709.36145,96825.1016
tun,Tunisia,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,4.363705635,23.165411,27.52911758,33090.36173,39588.7969
xnf,Rest of North Africa,M East & N Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,0.457576036,19.56891823,20.02649689,60859.96295,60982.6328
ben,Benin,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-30.20734406,31.15856171,0.951195598,9998.454091,11939.5635
bfa,Burkina Faso,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-38.06095886,0.136553466,-37.9244194,12273.69609,13260.4795
cmr,Cameroon,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-0.798802137,22.89878464,22.09997559,32652.87069,33822.0273
civ,Côte d'Ivoire,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-17.31090164,157.3982849,140.0873261,44814.00262,48491.9961
gha,Ghana,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-72.83812714,226.2420044,153.4039002,52146.10277,56548.1328
gin,Guinea,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-3.58809185,11.07759857,7.489500523,8454.469752,9704.915
mli,Mali,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-84.97459412,8.940069199,-76.0345459,13792.51909,14441.8711
ner,Niger,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-112.7315521,-7.058960915,-119.7905273,10467.61713,10187.2168
nga,Nigeria,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-348.5903931,958.645752,610.0549927,363748.5919,351873.0313
sen,Senegal,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-1.426329613,47.52845383,46.10214233,16967.08291,19634.0078
tgo,Togo,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-6.949768543,16.48643112,9.537418366,4801.14959,5927.6763
xwf,Rest of Western Africa,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-11.52835083,21.46274948,9.934394836,13873.75896,16344.1787
caf,Central African Republic,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-1.475776792,0.517774463,-0.958002508,1919.252688,1904.2909
tcd,Chad,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-24.97268105,0.656572938,-24.31610107,9752.811427,9400.3691
cog,Congo,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-1.930672526,2.595806599,0.665133774,6295.030544,9347.5195
cod,Democratic Republic of the Congo,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-5.183205128,28.27228928,23.08908463,34892.36037,35738.1094
gnq,Equatorial Guinea,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,0.608254254,2.929993391,3.538247109,9732.614641,10678.1719
gab,Gabon,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-1.282936335,8.487567902,7.204636574,14593.49193,13368.249
xac,Rest of South and Central Africa,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,13.92450523,5.32260561,19.24711227,49388.72103,60546.6953
com,Comoros,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,1.770558715,2.116383314,3.886941671,930.5551598,981.2072
eth,Ethiopia,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,24.75705338,12.1942091,36.95130539,71920.34853,76864.0938
ken,Kenya,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,15.39005184,32.56414032,47.95419312,79547.84022,77113.7031
mdg,Madagascar,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,8.056217194,9.309129715,17.365345,12734.4005,12385.7598
mwi,Malawi,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,14.27162552,3.447099686,17.71871758,8393.566427,8407
mus,Mauritius,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-0.763725519,19.92298889,19.15926743,11501.04829,12268.0928
moz,Mozambique,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,8.404287338,8.865871429,17.27015686,11968.95216,12348.6631
rwa,Rwanda,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,1.613616705,0.327985048,1.941601992,8383.379628,8697.6426
sdn,Sudan,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-60.18553162,103.8898773,43.70429993,124735.8095,121914.9219
tza,"Tanzania, United Republic of",Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,27.63919258,31.03167725,58.67086792,47783.89261,50112.3516
uga,Uganda,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,12.8073206,9.321100235,22.12835312,29393.47599,28899.8398
zmb,Zambia,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,8.363814354,11.54075623,19.9045639,24640.60172,23699.3281
zwe,Zimbabwe,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,5.458506584,5.267217159,10.72572136,15591.5875,16528.8145
xec,Rest of Eastern Africa,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-10.2369957,17.486763,7.249765396,17498.11635,19310.1895
bwa,Botswana,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-1.491620421,6.325965881,4.83434248,15429.91615,14402.4277
swz,Eswatini,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,0.686328888,1.448402286,2.134730578,4282.31421,4046.6099
nam,Namibia,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,0.8978163,3.203390122,4.101204872,11533.26367,11904.374
zaf,South Africa,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,4.825065136,79.5293045,84.35436249,334894.1536,349561.5625
xsc,Rest of South African Customs Union,Sub-Saharan Africa,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,-0.119233489,0.024409331,-0.094824091,2270.591123,2092.7068
xtw,Rest of the World,N America,Labor Only (All Sectors),1,ACCESS-CM2,Lancet,0.003809331,0.004156295,0.007965626,76.28003619,90.5929
aus,Australia,Oceania,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-1.961827755,125.8848114,123.9230881,1141812.726,1189179.25
nzl,New Zealand,Oceania,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,24.4825325,4.405370712,28.88791275,180885.9698,187628.125
xoc,Rest of Oceania,Oceania,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,6.739465714,78.86375427,85.60321045,45784.75981,52006.2461
chn,China,E Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-5608.693359,-15146.05469,-20754.74805,10634354.25,10702734
hkg,Hong Kong,E Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-33.68029785,-30.80019188,-64.48043823,338351.8605,303837.5313
jpn,Japan,E Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-27.25044251,-2176.619141,-2203.868652,3811644.095,4222925
kor,"Korea, Republic of",E Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-9.740074158,-631.4547119,-641.1948242,1319140.14,1436882.25
mng,Mongolia,E Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-2.29969883,-0.259591579,-2.559291363,9534.373161,10260.3457
twn,Chinese Taipei,E Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-4.49565506,175.7829132,171.2872772,498787.0241,539912.0625
xea,Rest of East Asia,E Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-2.90118742,-0.156765342,-3.057950735,65991.24494,60750.1563
brn,Brunei Darussalam,SE Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-1.927629709,-2.801736355,-4.729365826,11404.3365,10575.5898
khm,Cambodia,SE Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-86.85109711,30.18732834,-56.66371155,20269.07872,20846.584
idn,Indonesia,SE Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-198.1293945,2186.562012,1988.431885,995883.1294,902508.75
lao,Lao PDR,SE Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-11.93001556,14.77212048,2.842103481,15937.08307,15495.9434
mys,Malaysia,SE Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-23.30305862,803.1513672,779.8486328,306019.3639,286098.25
phl,Philippines,SE Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,21.06519318,891.185791,912.2508545,299024.833,308774
sgp,Singapore,SE Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-6.189609528,111.3844147,105.1948624,306124.7433,311263.2188
tha,Thailand,SE Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-194.2704468,568.8984375,374.6279602,402651.6075,407908.0937
vnm,Viet Nam,SE Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-414.9812012,99.80944824,-315.171814,194587.7331,210226.0781
xse,Rest of Southeast Asia,SE Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-86.30173492,68.50944519,-17.7923317,60388.88224,59210.5547
afg,Afghanistan,C Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-73.20994568,6.870236397,-66.33966065,16888.34378,15970.0098
bgd,Bangladesh,S Asia,Labor Only (All Sectors),1,KACE-1-0-G,Lancet,-294.7095337,417.2900391,122.5806885,289703.3159,272672.4375
