Country,Name,Region,Scenario,Degrees,GCM,Welfare Component,Labor Shock,ST_AG_Welfare_in_M_USD,ST_NONAG_Welfare_in_M_USD,Welfare_in_M_USD,Valueadded_in_M_USD,Initial_Income_in_M_USD
vnm,Viet Nam,SE Asia,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-624.3807373,-1033.640381,-1658.021362,194587.7331,210226.0781
xse,Rest of Southeast Asia,SE Asia,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-170.1006165,-128.9651184,-299.0657349,60388.88224,59210.5547
afg,Afghanistan,C Asia,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-51.2849884,16.14782143,-35.13715363,16888.34378,15970.0098
bgd,Bangladesh,S Asia,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-309.8709717,-1404.326904,-1714.19751,289703.3159,272672.4375
ind,India,S Asia,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-6063.990234,-9450.265625,-15514.25977,2525112.672,2434175.5
npl,Nepal,S Asia,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-78.04080963,-20.67244911,-98.71324158,23537.00307,26950.0723
pak,Pakistan,S Asia,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-2856.10791,-1187.564697,-4043.670898,330316.3011,318852.125
lka,Sri Lanka,S Asia,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-58.39782333,-141.7579346,-200.1557159,76728.41096,81567.0313
xsa,Rest of South Asia,S Asia,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-2.52215147,-1.079231858,-3.601383209,6478.645404,6360.7217
can,Canada,N America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-70.4759903,-1041.942871,-1112.41919,1314982.922,1470133.25
usa,United States of America,N America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,222.1030273,-10595.43359,-10373.33594,15606495.82,17663314
mex,Mexico,N America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-158.0348206,-967.3913574,-1125.425781,1074965.616,1045179
xna,Rest of North America,N America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-2.058695316,-1.066132784,-3.124819756,31446.136,36104.6172
arg,Argentina,S America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,38.15464783,-405.188385,-367.0342102,513469.6686,605007.875
bol,Bolivia,S America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-22.69915199,-23.65872955,-46.35787201,31272.25462,35194.4219
bra,Brazil,S America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-459.739624,-3512.449951,-3972.188477,1532254.245,1820812.375
chl,Chile,S America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,12.82686615,-66.09541321,-53.2685585,258966.5603,252467.9219
col,Colombia,S America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-70.00524902,-710.005188,-780.0106201,264684.6565,285542.3437
ecu,Ecuador,S America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,6.340502262,-111.3966522,-105.0561371,95360.94733,91470.0547
pry,Paraguay,S America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-7.875787735,-74.02435303,-81.90016174,34200.03753,36365.2734
per,Peru,S America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-26.97415924,-160.1955109,-187.1697235,196870.4334,192188.6563
ury,Uruguay,S America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,6.326252937,-27.99803734,-21.67179298,50360.05408,58933.2617
ven,Venezuela,S America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-123.7876587,-1104.855225,-1228.643311,231786.982,227818.25
xsm,Rest of South America,S America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-4.298832893,-57.06082153,-61.35966492,11449.23467,12486.4063
cri,Costa Rica,C America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-13.80727482,-103.9053116,-117.7125549,48892.29968,56441.3281
gtm,Guatemala,C America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-28.26226425,-86.51583099,-114.7780838,65807.24184,65803.1172
hnd,Honduras,C America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-11.13858032,-61.97683716,-73.115448,19662.4006,20325.9297
nic,Nicaragua,C America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-12.87931824,-72.60463715,-85.48396301,11431.13223,12682.29
pan,Panama,C America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-18.9928875,-158.6752625,-177.6680603,51717.71568,56917.7617
slv,El Salvador,C America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-11.19643116,-61.89265442,-73.08912659,22447.3747,22695.1777
xca,Rest of Central America,C America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-3.140372753,-4.233790875,-7.374167442,1261.343153,1638.5942
dom,Dominican Republic,C America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-55.82299805,-165.276001,-221.0991058,73011.67222,73286.0078
hti,Haiti,C America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-41.06139755,-37.56287003,-78.62426758,13165.08978,13306.667
jam,Jamaica,C America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-6.589092255,-42.78698731,-49.37608719,11199.61762,13920.3203
pri,Puerto Rico,C America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-5.894252777,-484.3313599,-490.225769,88186.64549,92681.7188
tto,Trinidad and Tobago,C America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-5.614525795,-108.4396057,-114.0541229,21229.1312,20768.2227
xcb,Rest of Caribbean,C America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-120.0756226,-474.6037598,-594.6796875,119976.1443,125676.7969
aut,Austria,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-11.13686657,-80.91086578,-92.04766083,288015.861,368294.3438
bel,Belgium,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-12.68640709,2.245918989,-10.44064617,337525.0001,448323.2187
bgr,Bulgaria,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,0.271799088,-10.42164993,-10.14984131,46822.77924,53544.9297
hrv,Croatia,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-9.411156654,-29.88184357,-39.29299927,40347.9858,50285.0195
cyp,Cyprus,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-4.870904923,-31.21006012,-36.08098221,18698.6466,19540.6523
cze,Czech Republic,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-1.463042855,-26.61991501,-28.08294296,168739.1319,193082.875
dnk,Denmark,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,16.00907135,-56.79462051,-40.78555298,270579.1919,298167.9063
est,Estonia,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-3.576692343,-3.02995348,-6.606635094,19880.63649,24291.8047
fin,Finland,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,0.074697144,-12.83159161,-12.75698471,190558.2423,226543.8594
fra,France,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-12.11531067,-946.2446289,-958.3608398,1679692.874,2334273.5
deu,Germany,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-51.31212997,-738.8185425,-790.1309204,2695266.552,3309027.25
grc,Greece,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-62.64421845,-78.13137817,-140.775589,146290.767,178645.4531
hun,Hungary,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-2.88258028,-62.06661987,-64.94921112,102057.0524,129410.2344
irl,Ireland,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-11.03155232,-27.10355949,-38.13502121,289339.8116,308923.125
ita,Italy,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-95.34812164,-875.0556641,-970.4039307,1400627.102,1739692.875
lva,Latvia,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-1.324479342,-3.729413509,-5.053896427,22500.86449,27634.2188
ltu,Lithuania,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,3.206016064,1.349920869,4.55591917,37254.97136,44220.0352
lux,Luxembourg,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-6.244251251,-14.52431679,-20.76855087,52039.14419,60737.8008
mlt,Malta,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-2.688434601,-16.35069275,-19.03912354,10150.52118,12213.8828
nld,Netherlands,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,65.95108032,-100.0622406,-34.1117897,591769.5196,749251.6875
pol,Poland,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-2.780589819,-94.26668549,-97.0471344,383990.9938,488390.6875
prt,Portugal,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-22.25153542,-63.81047821,-86.06203461,167046.0794,197595.2969
rou,Romania,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-32.62207794,-77.79322815,-110.4152908,172184.9273,189773.4844
svk,Slovakia,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,0.04806935,-13.37782955,-13.32978058,73501.22106,86277.4531
svn,Slovenia,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-3.482661724,-12.94280815,-16.42547798,33702.51129,43449.5859
esp,Spain,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-43.85128403,-881.0161133,-924.867981,1006238.584,1176747
swe,Sweden,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-3.940275669,-42.61343384,-46.55368805,341947.0578,481407.4688
gbr,United Kingdom,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-20.12293243,-282.5556641,-302.6776123,2070663.3,2462082.5
che,Switzerland,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-35.2816391,-155.0443726,-190.3258972,614780.3482,618194.375
nor,Norway,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-17.32341385,-109.2315369,-126.5549316,302568.304,353843
xef,Rest of European Free Trade Association,Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,1.96158886,-1.841621041,0.11997506,26777.26109,28340.1992
alb,Albania,E Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-6.583750725,-7.764358521,-14.34810734,9961.498811,11598.3936
srb,Serbia,E Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-10.00901794,-26.14737129,-36.15638733,32499.2485,41049.5742
blr,Belarus,E Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-0.020464234,3.222730398,3.202251434,41291.25916,51442.7148
rus,Russian Federation,E Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-239.454834,-882.1373291,-1121.591797,1414849.657,1416931.5
ukr,Ukraine,E Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,7.545687676,-76.66854858,-69.12287903,92953.81384,98648.5625
xee,Rest of Eastern Europe,E Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-1.080210447,-4.318762779,-5.398975849,6978.320462,9089.6191
xer,Rest of Europe,E Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-8.915739059,-16.41521645,-25.33095551,59313.17139,67338.8828
kaz,Kazakhstan,C Asia,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-33.70097351,-138.8286438,-172.5296021,155216.6755,156797.7969
kgz,Kyrgyzstan,C Asia,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,3.3095119,-5.61835146,-2.308846235,5631.758315,6901.4082
tjk,Tajikistan,C Asia,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-3.460400343,-3.346922159,-6.807323456,6230.993532,6962.8936
uzb,Uzbekistan,C Asia,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-31.2485199,-43.49769592,-74.74620819,59072.85149,58356.4453
xsu,Rest of Former Soviet Union,C Asia,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-5.270402908,-77.17274475,-82.44316101,38501.65897,34832.8945
arm,Armenia,C Asia,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-1.231776595,-3.548400402,-4.78017664,9593.049776,10835.7744
aze,Azerbaijan,C Asia,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-15.74616432,-91.88340759,-107.6295929,39217.26613,38413.6484
geo,Georgia,E Europe,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-2.517561436,-5.853758812,-8.371319771,13221.33537,14890.5439
bhr,Bahrain,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-4.311026096,-1.030846119,-5.341866493,35957.80133,32165.9746
irn,Iran,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-201.1139221,-341.6719055,-542.7854004,515346.4176,434931.9375
irq,Iraq,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-201.7976379,-603.4851074,-805.2825317,219386.9528,174636.375
isr,Israel,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-25.5526104,-453.1016235,-478.6540527,271465.7657,327577.625
jor,Jordan,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-12.4068203,-37.37740326,-49.78422165,36172.58826,38384.7266
kwt,Kuwait,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-43.83536911,-232.0133209,-275.8487244,123851.7658,110131.9297
lbn,Lebanon,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-15.63448906,-64.86452484,-80.49903107,43210.48119,46798.6133
omn,Oman,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-31.16817665,-189.9532929,-221.12146,79547.22301,71967.0938
pse,Palestine,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-16.93886375,-45.91014862,-62.84900665,14506.15917,14449.8262
qat,Qatar,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-54.59291458,-951.1022949,-1005.69458,150309.7396,144336.1875
sau,Saudi Arabia,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-219.9118652,-1531.346436,-1751.257446,717614.6933,623457.25
syr,Syrian Arab Republic,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-14.20634937,-24.14082336,-38.34716034,11606.10289,15360.2432
tur,Turkey,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-98.86551666,-352.4572144,-451.3225708,672482.8986,767607.5
are,United Arab Emirates,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-138.2881165,-1300.603272,-1438.89148,381383.6835,337926.6875
xws,Rest of Western Asia,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-69.61624146,-62.14136505,-131.757721,17328.90224,19057.4824
dza,Algeria,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-169.0896149,-232.7772217,-401.8669434,149027.0735,152328.75
egy,Egypt,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-72.41474915,-316.7301636,-389.1451111,249434.5177,221589.6875
mar,Morocco,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-86.68225098,-150.2930603,-236.9752197,99709.36145,96825.1016
tun,Tunisia,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-29.24461365,-61.378479,-90.62311554,33090.36173,39588.7969
xnf,Rest of North Africa,M East & N Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-72.97489929,-97.87661743,-170.8515167,60859.96295,60982.6328
ben,Benin,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-38.19790268,-49.69293213,-87.89085388,9998.454091,11939.5635
bfa,Burkina Faso,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-41.18711472,-60.35929108,-101.5463791,12273.69609,13260.4795
cmr,Cameroon,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-24.71538162,-48.7146225,-73.43003082,32652.87069,33822.0273
civ,Côte d'Ivoire,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-44.13958359,-214.577652,-258.7173157,44814.00262,48491.9961
gha,Ghana,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-114.0352173,-353.0819092,-467.1170349,52146.10277,56548.1328
gin,Guinea,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-10.64825821,-24.13972473,-34.78798676,8454.469752,9704.915
mli,Mali,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-124.7597122,-68.8434906,-193.603241,13792.51909,14441.8711
ner,Niger,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-158.7004242,-75.38427734,-234.0846405,10467.61713,10187.2168
nga,Nigeria,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-661.6331177,-2433.660889,-3095.293945,363748.5919,351873.0313
sen,Senegal,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-30.37018395,-47.57710648,-77.94731903,16967.08291,19634.0078
tgo,Togo,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-10.1284771,-29.53054047,-39.65903473,4801.14959,5927.6763
xwf,Rest of Western Africa,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-46.31353378,-56.74649429,-103.0600281,13873.75896,16344.1787
caf,Central African Republic,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-5.298337936,-2.053189278,-7.351529121,1919.252688,1904.2909
tcd,Chad,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-46.76440811,-14.15621185,-60.92060089,9752.811427,9400.3691
cog,Congo,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-6.97382021,-15.19595337,-22.16977882,6295.030544,9347.5195
cod,Democratic Republic of the Congo,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-33.44637299,-40.73580933,-74.18218994,34892.36037,35738.1094
gnq,Equatorial Guinea,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-1.171782255,-6.554477692,-7.726260185,9732.614641,10678.1719
gab,Gabon,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-6.199408054,-16.8071785,-23.00658798,14593.49193,13368.249
xac,Rest of South and Central Africa,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-103.7654419,-82.38243866,-186.1479034,49388.72103,60546.6953
com,Comoros,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-0.912929416,-2.601676226,-3.514604569,930.5551598,981.2072
eth,Ethiopia,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,4.260878563,-24.6193924,-20.35857391,71920.34853,76864.0938
ken,Kenya,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-9.509288788,-48.63444138,-58.14374542,79547.84022,77113.7031
mdg,Madagascar,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-4.290083408,-8.5978508,-12.88793564,12734.4005,12385.7598
mwi,Malawi,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-9.912620544,-6.004105568,-15.91671848,8393.566427,8407
mus,Mauritius,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-1.408414483,-19.70267487,-21.11109161,11501.04829,12268.0928
moz,Mozambique,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-22.51168633,-21.76595306,-44.27765656,11968.95216,12348.6631
rwa,Rwanda,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-1.075602293,-1.630413055,-2.706013203,8383.379628,8697.6426
sdn,Sudan,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-180.5644836,-525.6755371,-706.2400513,124735.8095,121914.9219
tza,"Tanzania, United Republic of",Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-45.33738709,-40.71802902,-86.05541992,47783.89261,50112.3516
uga,Uganda,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-16.91591644,-12.82155609,-29.73748398,29393.47599,28899.8398
zmb,Zambia,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-8.057687759,-11.31754303,-19.37521362,24640.60172,23699.3281
zwe,Zimbabwe,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-4.595952034,-9.15571022,-13.75166512,15591.5875,16528.8145
xec,Rest of Eastern Africa,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-29.5297451,-51.75933838,-81.28903198,17498.11635,19310.1895
bwa,Botswana,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-3.672400236,-12.01660729,-15.68900681,15429.91615,14402.4277
swz,Eswatini,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-0.361964107,-1.419367909,-1.78133142,4282.31421,4046.6099
nam,Namibia,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-1.1620996,-5.374341011,-6.536441803,11533.26367,11904.374
zaf,South Africa,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-4.635359287,-150.1962128,-154.831604,334894.1536,349561.5625
xsc,Rest of South African Customs Union,Sub-Saharan Africa,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,-0.434753299,-0.389118463,-0.823871017,2270.591123,2092.7068
xtw,Rest of the World,N America,Labor Only (All Sectors),2.5,EC-Earth3_r1i1p1f1,EV_total,Lancet,0.006004161,-0.003239347,0.002764837,76.28003619,90.5929
aus,Australia,Oceania,Labor Only (All Sectors),2.5,GFDL-ESM4,EV_total,Lancet,-42.86427307,-709.0689697,-751.9332275,1141812.726,1189179.25
nzl,New Zealand,Oceania,Labor Only (All Sectors),2.5,GFDL-ESM4,EV_total,Lancet,49.01241303,-26.51664734,22.49577904,180885.9698,187628.125
xoc,Rest of Oceania,Oceania,Labor Only (All Sectors),2.5,GFDL-ESM4,EV_total,Lancet,1.227900505,-99.18302918,-97.95510864,45784.75981,52006.2461
chn,China,E Asia,Labor Only (All Sectors),2.5,GFDL-ESM4,EV_total,Lancet,-8192.507813,-30504.07227,-38696.56641,10634354.25,10702734
hkg,Hong Kong,E Asia,Labor Only (All Sectors),2.5,GFDL-ESM4,EV_total,Lancet,-71.77204895,-87.49285889,-159.2648621,338351.8605,303837.5313
jpn,Japan,E Asia,Labor Only (All Sectors),2.5,GFDL-ESM4,EV_total,Lancet,-89.52507019,-2622.630127,-2712.156738,3811644.095,4222925
kor,"Korea, Republic of",E Asia,Labor Only (All Sectors),2.5,GFDL-ESM4,EV_total,Lancet,-39.74530411,-909.4840088,-949.2294922,1319140.14,1436882.25
mng,Mongolia,E Asia,Labor Only (All Sectors),2.5,GFDL-ESM4,EV_total,Lancet,-5.755429268,-11.69938946,-17.45481873,9534.373161,10260.3457
twn,Chinese Taipei,E Asia,Labor Only (All Sectors),2.5,GFDL-ESM4,EV_total,Lancet,-44.38658905,-1733.304688,-1777.691162,498787.0241,539912.0625
xea,Rest of East Asia,E Asia,Labor Only (All Sectors),2.5,GFDL-ESM4,EV_total,Lancet,-8.364728928,-45.56191254,-53.92662048,65991.24494,60750.1563
